Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C106, C107",0402,3,10u,
"C103, C105",0402,2,10p,
"C108, C119, C120",0402,3,1u,
"C109, C110, C113, C114, C115, C118",0402,6,0u1,
"C111, C112",0402,2,18p,
C121,0402,1,0n1,
D101,D_SOD-323,1,1N5819WS,
"D129, D130",0805,2,LED,
"H101, H102, H103, H104",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J101,PinHeader_2x01_P2.54mm_Vertical,1,Bat,
J105,PinHeader_2x01_P2.54mm_Vertical,1,Boot,
L101,0402,1,3n9,
Q101,SOT-23,1,Si2301CDS,
"R101, R111, R112",0603,3,100k,
"R103, R104",0603,2,1k,
R105,0603,1,2k,
"R106, R113",0603,2,10k,
R107,0603,1,22,
"R108, R109",0603,2,5k1,
