Designator,Mid X,Mid Y,Rotation,Layer
C1,39.0,-54.6,0.0,top
C10,217.02,-117.6,0.0,top
C100,205.02,-54.6,0.0,top
C101,45.48,-120.53,0.0,top
C102,246.98,-76.6,0.0,top
C103,43.0,-132.5,0.0,top
C104,88.52,-75.6,0.0,top
C105,45.48,-124.47,0.0,top
C106,45.48,-126.44,0.0,top
C107,45.48,-128.41,0.0,top
C108,45.48,-130.38,0.0,top
C109,48.35,-120.53,0.0,top
C11,182.0,-94.6,0.0,top
C110,48.35,-122.5,0.0,top
C111,48.35,-124.47,0.0,top
C112,48.35,-126.44,0.0,top
C113,48.35,-128.41,0.0,top
C114,48.35,-130.38,0.0,top
C115,51.22,-120.53,0.0,top
C116,93.52,-79.6,0.0,top
C117,178.02,-74.6,0.0,top
C118,51.22,-122.5,0.0,top
C119,51.22,-124.47,0.0,top
C12,182.02,-38.1,0.0,top
C120,51.22,-126.44,0.0,top
C121,51.22,-128.41,0.0,top
C122,217.52,-101.6,0.0,top
C123,200.98,-134.1,0.0,top
C124,198.5,-118.6,0.0,top
C125,181.52,-70.1,0.0,top
C126,220.02,-34.1,0.0,top
C127,92.52,-99.1,0.0,top
C128,157.02,-93.6,0.0,top
C129,149.02,-110.1,0.0,top
C13,171.02,-38.6,0.0,top
C130,74.52,-50.1,0.0,top
C131,115.02,-54.6,0.0,top
C132,160.0,-54.6,0.0,top
C133,210.48,-55.6,0.0,top
C134,237.02,-82.1,0.0,top
C135,98.02,-75.6,0.0,top
C136,103.02,-79.1,0.0,top
C137,183.0,-78.1,0.0,top
C138,217.48,-106.6,0.0,top
C139,206.5,-130.6,0.0,top
C14,89.0,-128.1,0.0,top
C140,200.52,-124.1,0.0,top
C141,182.0,-86.1,0.0,top
C142,198.0,-34.6,0.0,top
C143,96.0,-95.6,0.0,top
C144,152.52,-99.6,0.0,top
C145,149.5,-104.6,0.0,top
C146,79.0,-54.6,0.0,top
C147,125.02,-55.1,0.0,top
C148,164.5,-51.1,0.0,top
C149,214.52,-59.1,0.0,top
C15,102.52,-85.1,0.0,top
C150,253.02,-72.6,0.0,top
C151,125.02,-79.1,0.0,top
C152,131.02,-75.6,0.0,top
C153,194.5,-74.6,0.0,top
C154,217.52,-112.1,0.0,top
C155,212.52,-134.6,0.0,top
C156,201.0,-129.1,0.0,top
C157,182.0,-90.1,0.0,top
C158,226.02,-38.6,0.0,top
C159,99.5,-88.6,0.0,top
C16,149.02,-144.1,0.0,top
C160,217.02,-94.1,0.0,top
C161,149.0,-153.6,0.0,top
C162,169.02,-64.1,0.0,top
C163,191.52,-63.1,0.0,top
C164,191.02,-71.1,0.0,top
C166,66.0274,-153.5,0.0,top
C17,46.5,-50.1,0.0,top
C18,87.52,-54.6,0.0,top
C19,134.5,-54.6,0.0,top
C2,82.98,-50.1,0.0,top
C20,178.0,-50.6,0.0,top
C21,221.98,-66.6,0.0,top
C22,242.1,-94.15,0.0,top
C23,66.0,-100.6,0.0,top
C24,142.52,-73.1,0.0,top
C25,204.02,-80.6,0.0,top
C26,222.02,-126.1,0.0,top
C27,181.98,-99.1,0.0,top
C28,178.48,-30.1,0.0,top
C29,177.5,-34.6,0.0,top
C3,130.48,-50.6,0.0,top
C30,89.0,-123.6,0.0,top
